ID,Start time,Completion time,Email,Name,Last modified time,Age,What is your level of hearing loss?,On what device are you accessing the web app?,The speech-to-text feature felt intuitive in terms of usability.,The system accurately transcribed the spoken conversation.,The speech-to-text feature felt comfortable to read during conversation.,Were there any challenges or issues you encountered during the speech-to-text process?,The speech-to-text with text-to-speech felt intuitive in terms of usability.,The generated text effectively transformed back into speech.,The text-to-speech felt comfortable to listen to during conversation.,Did you encounter any discrepancies or errors in the conversion process?,The playback feature felt intuitive in terms of usability.,The system provided clear and accurate audio playback.,The audio playback feature felt comfortable to use during conversation.,Were there any challenges or issues encountered during the playback task?,Making an account felt intuitive in terms of usability.,Saving instances felt intuitive in terms of usability.,Saving instances felt comfortable to do.,Were there any challenges or issues encountered during the sign-up and saving task?,The text-to-speech felt intuitive in terms of usability.,The system produced clear and natural-sounding speech from the input text.,The text-to-speech felt comfortable to use during conversation.,Were there any challenges or areas of improvement identified during the text-to-speech task?,Completing the next task is optional and will require just a few more minutes. Would you like to proceed with the following questions?,I think that I would like to use this web-app frequently,I found the web-app unnecessarily complex,I thought the web-app was easy to use,I found the web-app’s design to be intuitive and user-friendly ,I think that I would need the support of a technical person to be able to use this web-app,I found the various functions in this web-app were well integrated,I found the various functions in this web-app were well centralised to direct attention to vital information,I thought the colours of the web-app contributes to a comfortable interaction,"I thought the varying font sizes for text boxes enhanced readability, especially for potential users from the elderly demographic",I found the error communications and user guide of the web-app to be an effective user-system communication,I found the default settings helpful in streamlining your initial interaction with the web-app,I thought there was too much inconsistency in this web-app,I would imagine that most people would learn to use this web-app very quickly,I found the web-app very cumbersome to use,I felt very confident using the web-app,I needed to learn a lot of things before I could get going with the web-app,I think this web-app will be useful in providing solutions for the Deaf and Hard-of-Hearing community,Do you have any other comments for improvement/future work for the web-app?
1,2/16/24 17:28:10,2/16/24 17:58:16,anonymous,,,16-24,No hearing loss,Laptop,Agree,Agree,Strongly agree,no apparent issues,Strongly agree,Strongly disagree,Strongly Agree,"the speech-to-text transcribed much more accurately when the microphone was connected physically to the device by a wire, as opposed to when it was connected over bluetooth.",Agree,Neutral,Disagree,"i didn't know that I could click on the cog in the top right corner to get descriptions of the terms. Though even then, I didn't really understand how changing factors such as the frequency or Q would affect the playback.",Strongly Agree,Strongly Agree,Strongly Agree,,Strongly agree,Agree,Agree,,,5,2,5,5,1,5,5,5,5,4,5,1,5,1,4,2,5,"I think it may be useful to combine the speech-to-text section and the text-to-speech section onto a single page, as they feel quite disconnected and it is unclear at first what the text-to-speech function does. Additionally, it could benefit from more emphasis on important buttons. For example, the 'Start Listening' button could be better highlighted to show users to start the conversation, and perhaps the button could flip colour scheme when it's 'Stop Listening'. I think the web-app is really cool though, especially the ability to save settings and set trigger words."
2,2/19/24 13:35:28,2/19/24 13:43:44,anonymous,,,45-54,Mild hearing loss,Laptop,Strongly agree,Agree,Agree,,Neutral,Agree,Neutral,,Neutral,Agree,Agree,,Agree,Strongly Agree,Strongly Agree,,Strongly agree,Strongly agree,Strongly agree,,,3,2,4,4,1,5,5,5,5,5,5,1,5,1,4,1,4,
3,2/24/24 14:37:53,2/24/24 14:55:38,anonymous,,,16-24,No hearing loss,Laptop,Strongly agree,Agree,Strongly agree,"It didn't seem to work on the browser I was using (Arc), so I had to switch to chrome, but that might just be an issue with my browser.",Strongly agree,Agree,Disagree,"If I set the language of the text to speech before starting to record, it would revert back to the original language, which got a bit tedious when trying to record and listen to text in another language",Strongly agree,Strongly agree,Agree,"Some of the saved trigger words weren't getting detected as well so it wouldn't always change to that particular saved configuration. It worked using the word ""stop"" as a trigger, but not using the word ""passthrough""",Strongly Agree,Agree,Agree,None,Strongly agree,Strongly agree,Strongly agree,It would be great if I could save a configuration for the text to speech also,Yes,2,1,4,4,3,4,4,5,5,4,3,2,4,1,3,3,4,
4,2/27/24 11:47:26,2/27/24 12:03:00,anonymous,,,16-24,No hearing loss,Laptop,Strongly agree,Strongly agree,Agree,,Agree,Strongly Agree,Strongly Agree,"As my PC's language is set to German, the application automatically chose a German TTS voice. When i tried to change this, the old voice kept reading the full text before the new voice started anew.

I believe it would be helpful that the TTS voice selected by default be aligned with the language selected above.",Disagree,Agree,Neutral,,Strongly Agree,Strongly Agree,Strongly Agree,"Not a challenge per se, but I did notice that when saving a setting with a default value for one of the configuration options, the corresponding cell in the table would be empty, which I found confusing at first.",Strongly agree,Strongly agree,Strongly agree,"No issues, everything worked perfectly.",Yes,4,1,4,4,1,5,5,5,5,5,5,1,4,2,5,1,5,
5,2/28/24 12:53:41,2/28/24 12:57:54,anonymous,,,35-44,Profound hearing loss,Desktop,Strongly agree,Strongly agree,Agree,none ,Agree,Strongly Agree,Strongly Agree,none ,Agree,Strongly agree,Strongly agree,none,Strongly Agree,Agree,Agree,none,Strongly agree,Strongly agree,Agree,ways to vary speech ,Yes,5,1,5,5,3,5,5,5,5,4,5,1,5,1,5,3,5,
6,2/29/24 13:39:41,2/29/24 13:47:17,anonymous,,,16-24,No hearing loss,Laptop,Strongly agree,Agree,Strongly agree,,Strongly agree,Strongly Agree,Strongly Agree,i think the flip switch can be explained a bit better,Strongly agree,Strongly agree,Strongly agree,,Disagree,Strongly Agree,Strongly Agree,there is no direct sign up button,Strongly agree,Strongly agree,Strongly agree,,Yes,4,1,5,5,1,5,5,4,5,5,5,4,5,1,5,2,5,
7,2/29/24 20:37:38,2/29/24 21:11:35,anonymous,,,45-54,No hearing loss,Laptop,Strongly agree,Agree,Strongly agree,Not always 100% accurate in transcribing possible to due strong Yorkshire accent ,Strongly agree,Strongly Agree,Strongly Agree,None encountered,Strongly agree,Strongly agree,Strongly agree,None,Strongly Agree,Strongly Agree,Strongly Agree,none,Strongly agree,Strongly agree,Strongly agree,None,Yes,1,2,5,3,1,5,5,4,4,5,5,1,5,1,5,1,5,"Suggest containers on main screen to provide better layout. Change delete button in profile page to remove the word SAVE. Needs better wording for changing from Speech-To_Text and Text-To_Speech. Possibly something like ""Change function""? In the Text-To_Speech page make  the large font larger. Introduce a dark mode for those with more sensitive eyes."
8,3/3/24 17:59:45,3/3/24 18:13:33,anonymous,,,65+,Moderate hearing loss,Laptop,Strongly agree,Strongly agree,Strongly agree,,Strongly agree,Strongly Agree,Strongly Agree,Slight errors,Strongly agree,Strongly agree,Strongly agree,Error miss heard some words,Neutral,Neutral,Neutral,,Strongly agree,Strongly agree,Strongly agree,,No,,,,,,,,,,,,,,,,,,
9,3/4/24 20:59:50,3/4/24 21:03:47,anonymous,,,35-44,Moderate hearing loss,Phone,Agree,Agree,Agree,,Agree,Agree,Agree,,Agree,Agree,Agree,,Agree,Agree,Agree,,Agree,Agree,Agree,,Yes,3,2,3,3,1,3,3,3,3,3,3,3,3,3,3,3,3,
10,3/5/24 16:50:55,3/5/24 17:47:22,anonymous,,,16-24,No hearing loss,Laptop,Agree,Strongly agree,Strongly agree,"Where it said 'Start Microphone': the position caught me off guard at first - I was thinking at first it would be next to the 'Start Listening' button. That was only real issue I faced, otherwise it was very simple to understand.",Strongly agree,Strongly Agree,Agree,"Not really, it worked really well",Strongly agree,Strongly agree,Strongly agree,It was really easy to use: maybe one thing which have could have made this even better might be a toolbar that briefly explains what the different properties mean when hovered over.,Strongly Agree,Strongly Agree,Strongly Agree,"What might improve the design is if a change is made to the default or currently used preset, then the save button changes colour or shows an asterisk to inform that changes have been made which might like to be saved (to avoid forgetting)",Strongly agree,Agree,Agree,This task was very easy. What might help is to have a button that plays an example dialogue on repeat and users can adjust the sliders to tweak for their optimal settings.,Yes,3,3,4,4,2,5,3,2,2,5,5,3,3,2,5,2,4,"The colour palette could be refined so that each division of elements represents something more easily. For instance, save buttons having a different colour.

It would also help to add some padding around the buttons because for older people it can be harder to press on the buttons with as much precision due to the height being a bit narrow.

A recommendation that would help is asking people who fill in this survey what their technological experience is (eg. minimal experience like elders who don't use it much vs computer science students who are more familiar with tech): this could provide even more valuable insight to explain why some parts of the website are easy/hard to grasp.

Compared to other websites that provide similar services (eg. Eleven Labs), there are even more realistic voices that can capture tone and intonation very well, which can be very helpful to people who are hard of hearing as emotions can convey a lot of information. However, using these voices is definitely more practical due to costs (Eleven Labs can cost £100+ for its subscription for instance !).

This app would be made even better by taking inspiration from similar websites that are known to have very intuitive UIs. There's certain expectations about where items are positioned, the flow of reading, and more. So for some users theirs habits that have been built from using such apps thus it helps to follow similar in design to make it even easier to start using this app.

Having more font size options would have been helpful. For instance, instead of a selection box, a slider to increment the values might have allowed for more granularity.

I could hear the typing on the keyboard very audibly; it would be nice if there was a tick box that would drown the sound a bit. But I think for some people they might actually like the noise !

Overall, I think the web app is really helpful and it's really cool that it's open source. Thank you for making it !"
